 SUMMARY FOR UNIT  72
 Time                      F1温度                    F2温度                    F3温度                    F4温度                    室外温度
  0.2200000000000000E+0002  0.2048200701417624E+0002  0.2125578415470246E+0002  0.2123622012452323E+0002  0.2127277105038580E+0002  0.1600000000000000E+0002
  0.2300000000000000E+0002  0.2031286781681632E+0002  0.2109240833165020E+0002  0.2107947225260584E+0002  0.2110954800986511E+0002  0.1560000000000000E+0002
  0.2400000000000000E+0002  0.2016589102180975E+0002  0.2096179635450511E+0002  0.2095172855683390E+0002  0.2097925617127350E+0002  0.1560000000000000E+0002
  0.2500000000000000E+0002  0.2007341345704315E+0002  0.2086764012905529E+0002  0.2086072805388726E+0002  0.2088550237651421E+0002  0.1600000000000000E+0002
  0.2600000000000000E+0002  0.1994261867521879E+0002  0.2075901214470641E+0002  0.2075341798607600E+0002  0.2077729553768621E+0002  0.1550000000000000E+0002
  0.2700000000000000E+0002  0.1981137040198689E+0002  0.2065268863205331E+0002  0.2064757469874131E+0002  0.2067142069565944E+0002  0.1550000000000000E+0002
  0.2800000000000000E+0002  0.1969564983111056E+0002  0.2055779178666982E+0002  0.2055365568242489E+0002  0.2057700089117137E+0002  0.1550000000000000E+0002
  0.2900000000000000E+0002  0.1950012394901536E+0002  0.2041778022326164E+0002  0.2041330667635993E+0002  0.2043749764431689E+0002  0.1450000000000000E+0002
  0.3000000000000000E+0002  0.1934161538776087E+0002  0.2029954087164066E+0002  0.2029492328978882E+0002  0.2031982549539740E+0002  0.1450000000000000E+0002
  0.3100000000000000E+0002  0.1923091863822719E+0002  0.2020932233743185E+0002  0.2020655914130193E+0002  0.2023020938505650E+0002  0.1450000000000000E+0002
  0.3200000000000000E+0002  0.1921642054820948E+0002  0.2018816401935016E+0002  0.2018648758228839E+0002  0.2020997003419083E+0002  0.1450000000000000E+0002
  0.3300000000000000E+0002  0.1958315150439734E+0002  0.2043041545552397E+0002  0.2042454225184762E+0002  0.2045589899829867E+0002  0.1650000000000000E+0002
  0.3400000000000000E+0002  0.2009144928711158E+0002  0.2076923680593870E+0002  0.2076113322952720E+0002  0.2080534366028181E+0002  0.1850000000000000E+0002
  0.3500000000000000E+0002  0.2046967793320958E+0002  0.2103133099915332E+0002  0.2101874040324746E+0002  0.2108312002269580E+0002  0.1910000000000000E+0002
  0.3600000000000000E+0002  0.2084547086381594E+0002  0.2129753982273641E+0002  0.2127734865548150E+0002  0.2136532622232684E+0002  0.2010000000000000E+0002
  0.3700000000000000E+0002  0.2123404314036680E+0002  0.2156695846325373E+0002  0.2154334632928263E+0002  0.2164926650153511E+0002  0.2150000000000000E+0002
  0.3800000000000000E+0002  0.2186132005380370E+0002  0.2234129791681314E+0002  0.2231860020517846E+0002  0.2243546966765300E+0002  0.2235000000000000E+0002
  0.3900000000000000E+0002  0.2264410589250797E+0002  0.2344635801078735E+0002  0.2342612240736678E+0002  0.2354848766826767E+0002  0.2185000000000000E+0002
  0.4000000000000000E+0002  0.2317464450228691E+0002  0.2444993909015391E+0002  0.2442003116452112E+0002  0.2455446052229286E+0002  0.2100000000000000E+0002
  0.4100000000000000E+0002  0.2334094690268371E+0002  0.2509271497548387E+0002  0.2505167873451450E+0002  0.2519653475790183E+0002  0.2075000000000000E+0002
  0.4200000000000000E+0002  0.2256350880208216E+0002  0.2411890104358472E+0002  0.2406370134185753E+0002  0.2422115410422013E+0002  0.2025000000000000E+0002
  0.4300000000000000E+0002  0.2178479641655451E+0002  0.2307298750263498E+0002  0.2300735205295628E+0002  0.2317243419829936E+0002  0.1950000000000000E+0002
