 SUMMARY FOR UNIT  76
 Time                      F1相对湿度                F2相对湿度                F3相对湿度                F4相对湿度                室外相对湿度
  0.1400000000000000E+0002  0.4698058182453179E+0002  0.4828486784657690E+0002  0.4771921286177231E+0002  0.4826961225439757E+0002  0.6150000000000000E+0002
  0.1500000000000000E+0002  0.4537107410980671E+0002  0.4573100890456450E+0002  0.4508366886343200E+0002  0.4570654242204773E+0002  0.6350000000000000E+0002
  0.1600000000000000E+0002  0.4430268684744046E+0002  0.4326802922967038E+0002  0.4255360678519101E+0002  0.4323130156434616E+0002  0.6400000000000000E+0002
  0.1700000000000000E+0002  0.4417627116707859E+0002  0.4216534046306772E+0002  0.4139638615363240E+0002  0.4211851606735386E+0002  0.6700000000000000E+0002
  0.1800000000000000E+0002  0.4614816731973007E+0002  0.4431772726622296E+0002  0.4344249529999198E+0002  0.4426387755736235E+0002  0.6900000000000000E+0002
  0.1900000000000000E+0002  0.4871309637928315E+0002  0.4757618003133341E+0002  0.4655442664296478E+0002  0.4751988898204112E+0002  0.7050000000000000E+0002
  0.2000000000000000E+0002  0.4982810713011348E+0002  0.4893939349056643E+0002  0.4772836099447666E+0002  0.4888557471761173E+0002  0.7850000000000000E+0002
  0.2100000000000000E+0002  0.5082556812273747E+0002  0.5010183461210088E+0002  0.4873193128531847E+0002  0.5004902446010160E+0002  0.8050000000000000E+0002
  0.2200000000000000E+0002  0.5145230202850139E+0002  0.5069703855019765E+0002  0.4928337984818757E+0002  0.5064423810812131E+0002  0.7950000000000000E+0002
  0.2300000000000000E+0002  0.5199254286189603E+0002  0.5120803590818242E+0002  0.4975993866110588E+0002  0.5115415618820127E+0002  0.8600000000000000E+0002
  0.2400000000000000E+0002  0.5246718103600740E+0002  0.5162072738356235E+0002  0.5015215346498829E+0002  0.5156534391533126E+0002  0.8600000000000000E+0002
  0.2500000000000000E+0002  0.5276831998567364E+0002  0.5192055214936951E+0002  0.5043367655247923E+0002  0.5186352251981200E+0002  0.8200000000000000E+0002
  0.2600000000000000E+0002  0.5319755785054535E+0002  0.5226889691183560E+0002  0.5076794294996535E+0002  0.5221008269924432E+0002  0.8500000000000000E+0002
  0.2700000000000000E+0002  0.5363223538201852E+0002  0.5261240028929627E+0002  0.5110008418720309E+0002  0.5255169802482198E+0002  0.8500000000000000E+0002
  0.2800000000000000E+0002  0.5401880262194446E+0002  0.5292113331836599E+0002  0.5139685472437054E+0002  0.5285847513048497E+0002  0.8500000000000000E+0002
  0.2900000000000000E+0002  0.5467910198852858E+0002  0.5338036951718570E+0002  0.5184395812103079E+0002  0.5331542621649483E+0002  0.8950000000000000E+0002
  0.3000000000000000E+0002  0.5522105680918622E+0002  0.5377168657731573E+0002  0.5222449022456603E+0002  0.5370432523368990E+0002  0.8400000000000000E+0002
  0.3100000000000000E+0002  0.5560312042995405E+0002  0.5407243866922158E+0002  0.5251057650126698E+0002  0.5400264174291684E+0002  0.7950000000000000E+0002
  0.3200000000000000E+0002  0.5565337952357716E+0002  0.5414324555776336E+0002  0.5257580526599433E+0002  0.5407027277799926E+0002  0.8000000000000000E+0002
  0.3300000000000000E+0002  0.5452616653806219E+0002  0.5353235075804813E+0002  0.5193722287976713E+0002  0.5344820164378068E+0002  0.7300000000000000E+0002
  0.3400000000000000E+0002  0.5308310979510613E+0002  0.5280475976783993E+0002  0.5112349501524843E+0002  0.5268750172444252E+0002  0.6400000000000000E+0002
  0.3500000000000000E+0002  0.5209982915767625E+0002  0.5233324599575263E+0002  0.5056876436502122E+0002  0.5216698741749788E+0002  0.5900000000000000E+0002
  0.3600000000000000E+0002  0.5114476758479329E+0002  0.5185183840519556E+0002  0.5001730840486340E+0002  0.5163678449832826E+0002  0.5350000000000000E+0002
  0.3700000000000000E+0002  0.5017010750327372E+0002  0.5136384593851159E+0002  0.4944983641912200E+0002  0.5110584256647839E+0002  0.4950000000000000E+0002
  0.3800000000000000E+0002  0.4850363221536004E+0002  0.4933749409536053E+0002  0.4739464499231544E+0002  0.4905573935192141E+0002  0.5150000000000000E+0002
  0.3900000000000000E+0002  0.4645928400124546E+0002  0.4646447152830105E+0002  0.4453357631493949E+0002  0.4617919580791035E+0002  0.5450000000000000E+0002
  0.4000000000000000E+0002  0.4519611982536350E+0002  0.4404792486361100E+0002  0.4215357884834835E+0002  0.4377328016092171E+0002  0.5600000000000000E+0002
  0.4100000000000000E+0002  0.4494838047549688E+0002  0.4268058411570563E+0002  0.4078770868170084E+0002  0.4241753169958326E+0002  0.5850000000000000E+0002
  0.4200000000000000E+0002  0.4732887344050836E+0002  0.4554840892121948E+0002  0.4347761908627687E+0002  0.4526985067922462E+0002  0.6450000000000000E+0002
  0.4300000000000000E+0002  0.4985230101964678E+0002  0.4884025857190444E+0002  0.4655680480573314E+0002  0.4854741459822932E+0002  0.7300000000000000E+0002
  0.4400000000000000E+0002  0.5083235851706115E+0002  0.4999742490017791E+0002  0.4749657447502621E+0002  0.4970417488703711E+0002  0.7600000000000000E+0002
  0.4500000000000000E+0002  0.5194954131060254E+0002  0.5130809744541578E+0002  0.4862613435735109E+0002  0.5100958463047181E+0002  0.8100000000000000E+0002
  0.4600000000000000E+0002  0.5247518240433997E+0002  0.5183284773861428E+0002  0.4909563113945730E+0002  0.5153137001936844E+0002  0.8250000000000000E+0002
  0.4700000000000000E+0002  0.5294736842152759E+0002  0.5235244644375177E+0002  0.4956373433190483E+0002  0.5204632560302447E+0002  0.7800000000000000E+0002
  0.4800000000000000E+0002  0.5337304727118065E+0002  0.5274809779548640E+0002  0.4993090290602483E+0002  0.5243734730509579E+0002  0.7600000000000000E+0002
  0.4900000000000000E+0002  0.5372610799618045E+0002  0.5310742672588387E+0002  0.5026088824862804E+0002  0.5279182415793031E+0002  0.7500000000000000E+0002
  0.5000000000000000E+0002  0.5429077614869266E+0002  0.5355396406022456E+0002  0.5068239868573325E+0002  0.5323264636143499E+0002  0.8150000000000000E+0002
  0.5100000000000000E+0002  0.5501066272733232E+0002  0.5409020154924270E+0002  0.5119078455195570E+0002  0.5376221005319609E+0002  0.8700000000000000E+0002
  0.5200000000000000E+0002  0.5561679346276186E+0002  0.5455504472352073E+0002  0.5162929531965703E+0002  0.5422050536922664E+0002  0.8800000000000000E+0002
  0.5300000000000000E+0002  0.5608192576257379E+0002  0.5493780188646998E+0002  0.5198532978957380E+0002  0.5459705948414613E+0002  0.8850000000000000E+0002
